ID,Municipios_ID,Mes,Promedio_Radiacion
469,5321,January,4.956666666
470,5347,January,4.956666666
471,5353,January,4.73
472,5360,January,4.956666666
473,5361,January,4.706666666
474,5364,January,4.73
475,5368,January,4.73
476,5376,January,4.956666666
477,5380,January,4.956666666
478,5390,January,4.73
479,5400,January,4.73
480,5411,January,4.956666666
481,5425,January,5.163333333
482,5440,January,4.956666666
483,5467,January,4.73
484,5475,January,3.97
485,5480,January,4.38
486,5483,January,4.73
487,5490,January,4.88
488,5495,January,5.29
489,5501,January,4.956666666
490,5541,January,4.956666666
491,5543,January,4.706666666
492,5576,January,4.73
493,5579,January,5.163333333
494,5585,January,5.163333333
495,5591,January,4.933333333
496,5604,January,5.103333333
497,5607,January,4.956666666
498,5615,January,4.956666666
499,5628,January,4.956666666
500,5631,January,4.956666666
501,5642,January,4.73
502,5647,January,4.956666666
503,5649,January,5.163333333
504,5652,January,4.73
505,5656,January,4.956666666
506,5658,January,4.956666666
507,5659,January,4.88
508,5660,January,5.163333333
509,5664,January,4.956666666
510,5665,January,4.88
511,5667,January,4.956666666
512,5670,January,4.956666666
513,5674,January,4.956666666
514,5679,January,4.73
515,5686,January,4.956666666
516,5690,January,4.956666666
517,5697,January,4.956666666
518,5736,January,5.103333333
519,5756,January,4.73
520,5761,January,4.956666666
521,5789,January,4.73
522,5790,January,4.706666666
523,5792,January,4.73
524,5809,January,4.956666666
525,5819,January,4.706666666
526,5837,January,4.88
527,5842,January,3.97
528,5847,January,3.97
529,5854,January,4.706666666
530,5856,January,4.73
531,5858,January,5.163333333
532,5861,January,4.73
533,5873,January,3.97
534,5885,January,5.163333333
535,5887,January,4.956666666
536,5890,January,4.956666666
537,5893,January,5.423333333
538,5895,January,5.103333333
539,8001,January,5.753333333
540,8078,January,5.753333333
541,8137,January,5.753333333
542,8141,January,5.753333333
543,8296,January,5.753333333
544,8372,January,5.73
545,8421,January,5.73
546,8433,January,5.753333333
547,8436,January,5.753333333
548,8520,January,5.753333333
549,8549,January,5.73
550,8558,January,5.753333333
551,8560,January,5.753333333
552,8573,January,5.77
553,8606,January,5.73
554,8634,January,5.753333333
555,8638,January,5.753333333
556,8675,January,5.753333333
557,8685,January,5.753333333
558,8758,January,5.753333333
559,8770,January,5.753333333
560,8832,January,5.753333333
561,8849,January,5.753333333
562,11001,January,4.913333333
563,13001,January,5.73
564,13006,January,5.29
565,13030,January,5.29
566,13042,January,5.136666666
567,13052,January,5.73
568,13062,January,5.73
569,13074,January,5.29
570,13140,January,5.753333333
571,13160,January,5.423333333
572,13188,January,5.593333333
573,13212,January,5.593333333
574,13222,January,5.73
575,13244,January,5.483333333
576,13248,January,5.753333333
577,13268,January,5.136666666
578,13300,January,5.29
579,13430,January,5.593333333
580,13433,January,5.73
581,13440,January,5.593333333
582,13442,January,5.483333333
583,13458,January,5.29
584,13468,January,5.593333333
585,13473,January,5.136666666
586,13490,January,5.29
587,13549,January,5.29
588,13580,January,5.136666666
589,13600,January,5.136666666
590,13620,January,5.73
591,13647,January,5.73
592,13650,January,5.593333333
593,13654,January,5.483333333
594,13655,January,5.29
595,13657,January,5.483333333
596,13667,January,5.29
597,13670,January,5.423333333
598,13673,January,5.73
599,13683,January,5.73
600,13688,January,5.103333333
601,13744,January,5.423333333
602,13760,January,5.73
603,13780,January,5.593333333
604,13810,January,5.29
605,13836,January,5.73
606,13838,January,5.73
607,13873,January,5.73
608,13894,January,5.593333333
609,15001,January,5.03
610,15022,January,4.696666666
611,15047,January,5.153333333
612,15051,January,5.03
613,15087,January,5.153333333
614,15090,January,5.03
615,15092,January,5.153333333
616,15097,January,5.056666666
617,15104,January,5.03
618,15106,January,5.03
619,15109,January,5.03
620,15114,January,5.153333333
621,15131,January,5.03
622,15135,January,5.03
623,15162,January,5.153333333
624,15172,January,5.03
625,15176,January,5.03
626,15180,January,5.056666666
627,15183,January,5.056666666
628,15185,January,5.21
629,15187,January,5.03
630,15189,January,5.03
631,15204,January,5.03
632,15212,January,4.933333333
633,15215,January,5.153333333
634,15218,January,5.056666666
635,15223,January,5.056666666
636,15224,January,5.03
637,15226,January,5.153333333
638,15232,January,5.03
639,15236,January,4.696666666
640,15238,January,5.03
641,15244,January,5.056666666
642,15248,January,5.056666666
643,15272,January,5.153333333
644,15276,January,5.153333333
645,15293,January,5.03
646,15296,January,5.153333333
647,15299,January,5.03
648,15317,January,5.056666666
649,15322,January,5.03
650,15325,January,4.696666666
651,15332,January,5.056666666
652,15362,January,5.153333333
653,15367,January,5.03
654,15368,January,5.056666666
655,15377,January,5.153333333
656,15380,January,5.03
657,15401,January,4.933333333
658,15403,January,5.056666666
659,15407,January,5.03
660,15425,January,4.696666666
661,15442,January,4.933333333
662,15455,January,5.03
663,15464,January,5.153333333
664,15466,January,5.153333333
665,15469,January,5.03
666,15476,January,5.03
667,15480,January,4.933333333
668,15491,January,5.153333333
669,15494,January,5.03
670,15500,January,5.03
671,15507,January,4.933333333
672,15511,January,5.03
673,15514,January,5.03
674,15516,January,5.03
675,15518,January,5.153333333
676,15522,January,5.056666666
677,15531,January,5.03
678,15533,January,5.153333333
679,15537,January,5.153333333
680,15542,January,5.03
681,15550,January,5.153333333
682,15572,January,4.933333333
683,15580,January,4.933333333
684,15599,January,5.03
685,15600,January,5.03
686,15621,January,5.03
687,15632,January,5.03
688,15638,January,5.03
689,15646,January,5.03
690,15660,January,5.03
691,15664,January,5.21
692,15667,January,4.696666666
693,15673,January,5.056666666
694,15676,January,5.03
695,15681,January,4.933333333
696,15686,January,5.21
697,15690,January,4.696666666
698,15693,January,5.153333333
699,15696,January,5.03
700,15720,January,5.056666666
701,15723,January,5.056666666
702,15740,January,5.03
703,15753,January,5.056666666
704,15755,January,5.056666666
705,15757,January,5.153333333
706,15759,January,5.153333333
707,15761,January,4.696666666
708,15762,January,5.03
709,15763,January,5.03
710,15764,January,5.03
711,15774,January,5.056666666
712,15776,January,5.03
713,15778,January,5.03
714,15790,January,5.153333333
715,15798,January,5.03
716,15804,January,5.03
717,15806,January,5.153333333
718,15808,January,5.03
719,15810,January,5.056666666
720,15814,January,5.03
721,15816,January,5.03
722,15820,January,5.153333333
723,15822,January,5.153333333
724,15832,January,5.03
725,15835,January,5.03
726,15837,January,5.03
727,15839,January,5.056666666
728,15842,January,5.03
729,15861,January,5.03
730,15879,January,5.03
731,15897,January,5.03
732,17001,January,4.73
733,17013,January,4.73
734,17042,January,4.73
735,17050,January,4.73
736,17088,January,4.526666666
737,17174,January,4.526666666
738,17272,January,4.73
739,17380,January,4.933333333
740,17388,January,4.73
741,17433,January,4.73
742,17442,January,4.73
743,17444,January,4.73
744,17446,January,4.73
745,17486,January,4.73
746,17495,January,4.933333333
747,17513,January,4.73
748,17524,January,4.73
749,17541,January,4.73
750,17614,January,4.73
751,17616,January,4.73
752,17653,January,4.73
753,17662,January,4.933333333
754,17665,January,4.73
755,17777,January,4.73
756,17867,January,4.933333333
757,17873,January,4.73
758,17877,January,4.73
759,18001,January,4.76
760,18029,January,4.76
761,18094,January,4.76
762,18150,January,5.23
763,18205,January,4.76
764,18247,January,4.76
765,18256,January,4.76
766,18410,January,4.76
767,18460,January,4.76
768,18479,January,4.76
769,18592,January,4.76
770,18610,January,4.76
771,18753,January,4.99
772,18756,January,4.95
773,18785,January,4.95
774,18860,January,4.76
775,19001,January,4.133333333
776,19022,January,4.006666666
777,19050,January,3.896666666
778,19075,January,3.896666666
779,19100,January,4.006666666
780,19110,January,4.146666666
781,19130,January,4.133333333
782,19137,January,4.133333333
783,19142,January,4.146666666
784,19212,January,4.146666666
785,19256,January,4.133333333
786,19290,January,4.086666666
787,19300,January,4.146666666
788,19318,January,3.896666666
789,19355,January,4.133333333
790,19364,January,4.133333333
791,19392,January,4.133333333
792,19397,January,4.133333333
793,19418,January,3.896666666
794,19450,January,4.086666666
795,19455,January,4.146666666
796,19473,January,4.133333333
797,19513,January,4.146666666
798,19517,January,4.516666666
799,19532,January,4.133333333
800,19533,January,4.006666666
801,19548,January,4.133333333
802,19573,January,4.146666666
803,19585,January,4.133333333
804,19622,January,4.133333333
805,19693,January,4.006666666
806,19698,January,4.146666666
807,19701,January,4.006666666
808,19743,January,4.133333333
809,19760,January,4.133333333
810,19780,January,4.133333333
811,19785,January,4.133333333
812,19807,January,4.133333333
813,19809,January,3.896666666
814,19821,January,4.133333333
815,19824,January,4.133333333
816,19845,January,4.146666666
817,20001,January,5.583333333
818,20011,January,5.136666666
819,20013,January,5.583333333
820,20032,January,5.56
821,20045,January,5.56
822,20060,January,5.56
823,20175,January,5.56
824,20178,January,5.56
825,20228,January,5.56
826,20238,January,5.583333333
827,20250,January,5.56
828,20295,January,5.136666666
829,20310,January,5.136666666
830,20383,January,5.136666666
831,20400,January,5.56
832,20443,January,5.583333333
833,20517,January,5.136666666
834,20550,January,5.136666666
835,20570,January,5.583333333
836,20614,January,5.136666666
837,20621,January,5.583333333
838,20710,January,5.423333333
839,20750,January,5.583333333
840,20770,January,5.423333333
841,20787,January,5.136666666
842,23001,January,5.17
843,23068,January,5.17
844,23079,January,5.17
845,23090,January,4.88
846,23162,January,5.17
847,23168,January,5.483333333
848,23182,January,5.483333333
849,23189,January,5.17
850,23300,January,5.483333333
851,23350,January,5.17
852,23417,January,5.483333333
853,23419,January,4.88
854,23464,January,5.483333333
855,23466,January,4.706666666
856,23500,January,5.476666666
857,23555,January,5.17
858,23570,January,5.17
859,23574,January,5.476666666
860,23580,January,4.706666666
861,23586,January,5.483333333
862,23660,January,5.17
863,23670,January,5.483333333
864,23672,January,5.483333333
865,23675,January,5.483333333
866,23678,January,5.17
867,23682,January,4.706666666
868,23686,January,5.17
869,23807,January,4.88
870,23815,January,5.483333333
871,23855,January,4.88
872,25001,January,4.913333333
873,25019,January,4.913333333
874,25035,January,4.913333333
875,25040,January,4.913333333
876,25053,January,4.913333333
877,25086,January,4.913333333
878,25095,January,4.913333333
879,25099,January,4.913333333
880,25120,January,4.51
881,25123,January,4.913333333
882,25126,January,4.913333333
883,25148,January,4.933333333
884,25151,January,4.696666666
885,25154,January,5.03
886,25168,January,4.913333333
887,25175,January,4.913333333
888,25178,January,4.913333333
889,25181,January,4.696666666
890,25183,January,5.03
891,25200,January,5.03
892,25214,January,4.913333333
893,25224,January,5.03
894,25245,January,4.913333333
895,25258,January,4.933333333
896,25260,January,4.913333333
897,25269,January,4.913333333
898,25279,January,4.696666666
899,25281,January,4.696666666
900,25286,January,4.913333333
901,25288,January,5.03
902,25290,January,4.913333333
903,25293,January,4.696666666
904,25295,January,4.696666666
905,25297,January,4.696666666
906,25299,January,4.696666666
907,25307,January,4.913333333
908,25312,January,4.913333333
909,25317,January,5.03
910,25320,January,4.933333333
911,25322,January,4.696666666
912,25324,January,4.913333333
913,25326,January,4.696666666
914,25328,January,4.913333333
915,25335,January,4.696666666
916,25339,January,4.913333333
917,25368,January,4.913333333
918,25372,January,4.696666666
919,25377,January,4.696666666
920,25386,January,4.913333333
921,25394,January,4.933333333
922,25398,January,4.933333333
923,25402,January,4.913333333
924,25407,January,5.03
925,25426,January,5.03
926,25430,January,4.913333333
927,25436,January,5.03
928,25438,January,4.696666666
929,25473,January,4.913333333
930,25483,January,4.913333333
931,25486,January,5.03
932,25488,January,4.913333333
933,25489,January,4.933333333
934,25491,January,4.933333333
935,25506,January,4.913333333
936,25513,January,4.933333333
937,25518,January,4.933333333
938,25524,January,4.913333333
939,25530,January,4.696666666
940,25535,January,4.913333333
941,25572,January,4.933333333
942,25580,January,4.913333333
943,25592,January,4.933333333
944,25594,January,4.696666666
945,25596,January,4.913333333
946,25599,January,4.913333333
947,25612,January,4.913333333
948,25645,January,4.913333333
949,25649,January,4.913333333
950,25653,January,4.933333333
951,25658,January,4.913333333
952,25662,January,4.913333333
953,25718,January,4.913333333
954,25736,January,5.03
955,25740,January,4.913333333
956,25743,January,4.913333333
957,25745,January,5.03
958,25754,January,4.913333333
959,25758,January,4.696666666
960,25769,January,4.913333333
961,25772,January,5.03
962,25777,January,4.933333333
963,25779,January,5.03
964,25781,January,5.03
965,25785,January,4.913333333
966,25793,January,5.03
967,25797,January,4.913333333
968,25799,January,4.913333333
969,25805,January,4.913333333
970,25807,January,5.03
971,25815,January,4.913333333
972,25817,January,4.696666666
973,25823,January,4.933333333
974,25839,January,4.696666666
975,25841,January,4.696666666
976,25843,January,5.03
977,25845,January,4.913333333
978,25851,January,4.933333333
979,25862,January,4.933333333
980,25867,January,4.913333333
981,25871,January,4.933333333
982,25873,January,5.03
983,25875,January,4.933333333
984,25878,January,4.913333333
985,25885,January,4.933333333
986,25898,January,4.913333333
987,25899,January,5.03
988,27001,January,3.78
989,27006,January,4.55
